date,mktrf,smb,hml,rf,umd
2020-11-02,0.0117,0.0052,0.0102,0.0,-0.0141
2020-11-03,0.0193,0.0101,-0.002,0.0,0.0019
2020-11-04,0.0225,-0.0148,-0.0502,0.0,0.0487
2020-11-05,0.0212,0.0099,0.0053,0.0,-0.0019
2020-11-06,0.0001,-0.0086,-0.0091,0.0,0.0106
2020-11-09,0.0083,0.0077,0.067,0.0,-0.1436
2020-11-10,-0.0016,0.0156,0.0216,0.0,-0.0193
2020-11-11,0.0088,-0.0054,-0.0178,0.0,0.0334
2020-11-12,-0.0094,-0.0021,-0.0118,0.0,0.0182
2020-11-13,0.0131,0.006,0.0114,0.0,-0.0215
2020-11-16,0.0122,0.0079,0.0198,0.0,-0.033
2020-11-17,-0.002,0.0062,-0.0001,0.0,-0.0027
2020-11-18,-0.0094,-0.0004,0.0003,0.0,0.0024
2020-11-19,0.0058,0.0047,-0.0078,0.0,0.0037
2020-11-20,-0.0051,0.0067,-0.0059,0.0,0.0073
2020-11-23,0.0082,0.0088,0.0156,0.0,-0.0272
2020-11-24,0.0156,-0.0013,0.0277,0.0,-0.0382
2020-11-25,0.0002,-0.0001,-0.0133,0.0,0.0153
2020-11-27,0.0042,0.0046,-0.0162,0.0,0.0178
2020-11-30,-0.0052,-0.0098,-0.0207,0.0,0.0306
2020-12-01,0.0099,-0.0024,0.0052,0.0,-0.0078
2020-12-02,0.0011,-0.0009,0.0107,0.0,-0.0223
2020-12-03,0.0017,0.005,-0.0011,0.0,-0.0055
2020-12-04,0.0101,0.0147,0.0082,0.0,-0.0185
2020-12-07,0.0002,0.0025,-0.0102,0.0,0.0152
2020-12-08,0.0047,0.01,-0.007,0.0,0.0015
2020-12-09,-0.0103,-0.0006,0.0128,0.0,-0.0138
2020-12-10,0.0024,0.0111,-0.0046,0.0,-0.0017
2020-12-11,-0.0018,-0.0036,-0.0074,0.0,0.0062
2020-12-14,-0.0026,0.0057,-0.0151,0.0,0.0101
2020-12-15,0.0129,0.0106,0.0038,0.0,-0.0034
2020-12-16,0.0016,-0.0042,-0.004,0.0,0.0058
2020-12-17,0.0078,0.0068,-0.0071,0.0,0.0121
2020-12-18,-0.0014,0.0007,-0.0117,0.0,0.011
2020-12-21,-0.0024,0.0014,-0.0005,0.0,0.0117
2020-12-22,0.0006,0.0122,-0.0162,0.0,0.0187
2020-12-23,0.0011,0.0039,0.0203,0.0,-0.0222
2020-12-24,0.0023,-0.004,-0.0019,0.0,0.0021
2020-12-28,0.0049,-0.0073,0.0036,0.0,-0.0048
2020-12-29,-0.0039,-0.0152,0.0024,0.0,-0.0041
2020-12-30,0.0027,0.0101,0.0006,0.0,-0.0024
2020-12-31,0.004,-0.0086,0.0045,0.0,-0.0059
2021-01-04,-0.0141,0.0021,0.0059,0.0,-0.0003
2021-01-05,0.0086,0.0121,0.005,0.0,-0.0072
2021-01-06,0.0079,0.0214,0.0394,0.0,-0.0257
2021-01-07,0.0176,0.0032,-0.0082,0.0,0.0156
2021-01-08,0.0051,-0.0075,-0.0139,0.0,0.0085
2021-01-11,-0.0052,0.0025,0.0126,0.0,-0.0093
2021-01-12,0.0037,0.0128,0.0124,0.0,-0.007
2021-01-13,0.0007,-0.0094,-0.0045,0.0,0.0043
2021-01-14,-0.0012,0.0202,0.0112,0.0,-0.0113
2021-01-15,-0.0086,-0.0049,-0.0073,0.0,0.0059
2021-01-19,0.0092,0.0088,-0.0079,0.0,0.0062
2021-01-20,0.0127,-0.0039,-0.0111,0.0,0.0129
2021-01-21,-0.0004,-0.0054,-0.0096,0.0,0.0122
2021-01-22,-0.0007,0.0186,-0.0011,0.0,0.0084
2021-01-25,0.0029,-0.0003,-0.0043,0.0,0.0034
2021-01-26,-0.0033,0.0,0.0004,0.0,0.0025
2021-01-27,-0.0253,0.0133,0.0156,0.0,-0.0062
2021-01-28,0.0093,-0.0192,-0.0093,0.0,0.0016
2021-01-29,-0.0184,0.0059,0.0059,0.0,0.0021
2021-02-01,0.0172,0.0093,-0.0148,0.0,0.0129
2021-02-02,0.0148,-0.0088,-0.0103,0.0,-0.0006
2021-02-03,0.0014,0.004,0.0072,0.0,-0.0093
2021-02-04,0.0122,0.0038,0.0038,0.0,-0.0043
2021-02-05,0.0057,0.0108,-0.0048,0.0,0.0043
2021-02-08,0.0096,0.0209,0.0038,0.0,0.0045
2021-02-09,0.0005,0.0064,-0.0006,0.0,0.0041
2021-02-10,-0.0008,-0.006,0.0078,0.0,-0.0084
2021-02-11,0.002,-0.0004,-0.0068,0.0,0.0069
2021-02-12,0.0049,-0.0012,0.0046,0.0,0.0066
2021-02-16,-0.0014,-0.0064,0.0192,0.0,-0.0064
2021-02-17,-0.002,-0.0085,0.0058,0.0,-0.0115
2021-02-18,-0.0063,-0.0154,-0.0022,0.0,-0.0087
2021-02-19,0.0016,0.0177,0.0073,0.0,0.0025
2021-02-22,-0.0112,-0.0005,0.0313,0.0,-0.0321
2021-02-23,-0.0011,-0.0126,0.0089,0.0,-0.0179
2021-02-24,0.0115,0.012,0.0145,0.0,-0.0009
2021-02-25,-0.0272,-0.0112,0.0086,0.0,-0.0187
2021-02-26,-0.0028,0.0068,-0.0161,0.0,0.0195
2021-03-01,0.0262,0.0109,0.0023,0.0,0.015
2021-03-02,-0.0105,-0.011,0.0125,0.0,-0.014
2021-03-03,-0.0155,-0.0018,0.0357,0.0,-0.0327
2021-03-04,-0.0167,-0.0135,0.0171,0.0,-0.0285
2021-03-05,0.0187,0.0023,0.0063,0.0,-0.011
2021-03-08,-0.0067,0.0059,0.037,0.0,-0.0312
2021-03-09,0.0177,0.0128,-0.0324,0.0,0.0451
2021-03-10,0.0067,0.0078,0.0182,0.0,-0.005
2021-03-11,0.0141,0.0159,-0.02,0.0,0.0303
2021-03-12,0.0011,0.0013,0.0127,0.0,-0.0107
2021-03-15,0.0069,-0.0012,-0.0127,0.0,0.0097
2021-03-16,-0.0041,-0.0109,-0.0085,0.0,-0.0136
2021-03-17,0.0034,0.0046,0.0033,0.0,0.0149
2021-03-18,-0.0186,-0.0174,0.0216,0.0,-0.0346
2021-03-19,0.0023,0.0125,-0.01,0.0,0.0117
2021-03-22,0.0056,-0.0118,-0.0222,0.0,0.0019
2021-03-23,-0.0116,-0.027,-0.0104,0.0,-0.0222
2021-03-24,-0.0097,-0.0197,0.0146,0.0,-0.0282
2021-03-25,0.0067,0.0167,0.0139,0.0,0.0072
2021-03-26,0.0156,0.002,0.0069,0.0,-0.0043
2021-03-29,-0.0048,-0.0241,-0.0023,0.0,-0.0264
2021-03-30,-0.0004,0.0153,0.01,0.0,0.0232
2021-03-31,0.0063,0.0112,-0.0234,0.0,0.018
2021-04-01,0.0127,0.003,-0.0002,0.0,0.0069
2021-04-05,0.0128,-0.0059,-0.0071,0.0,-0.0048
2021-04-06,0.0,-0.0032,0.0009,0.0,0.0066
2021-04-07,-0.0011,-0.0159,0.0031,0.0,-0.0081
2021-04-08,0.0062,0.0059,-0.0118,0.0,0.0115
2021-04-09,0.0065,-0.0063,0.0015,0.0,-0.0017
2021-04-12,-0.0004,-0.006,0.0057,0.0,-0.0022
2021-04-13,0.0041,-0.003,-0.0161,0.0,0.0089
2021-04-14,-0.0035,0.0079,0.0141,0.0,-0.0015
2021-04-15,0.0106,-0.0044,-0.0119,0.0,-0.0075
2021-04-16,0.0027,-0.0036,0.0066,0.0,-0.0029
2021-04-19,-0.0072,-0.0077,0.0079,0.0,-0.0121
2021-04-20,-0.0093,-0.0118,-0.0157,0.0,-0.0205
2021-04-21,0.011,0.0138,0.0011,0.0,0.0198
2021-04-22,-0.0078,0.0066,-0.0077,0.0,-0.0012
2021-04-23,0.0126,0.0074,0.0068,0.0,0.0181
2021-04-26,0.0041,0.0088,-0.005,0.0,0.0146
2021-04-27,-0.0003,-0.0016,0.0085,0.0,0.0006
2021-04-28,-0.0007,0.0019,0.0021,0.0,-0.0016
2021-04-29,0.004,-0.0114,0.0108,0.0,-0.009
2021-04-30,-0.0083,-0.0044,-0.0034,0.0,-0.0049
